CpuName, price, rating 
Kingston ValueR DDR3 1333MHz 8GB SODIMM,379,5.0
Kingston DDR3 1333MHz 16GB,719,5.0
HyperX Fury DDR3 1600MHz 16GB,749,5.0
HyperX Impact DDR3L 1600MHz 8GB SODIMM,399,5.0
Corsair Vengeance RGB PRO DDR4 2666MHz 16GB,799,5.0
Corsair Vengeance LPX DDR4 3200MHz 16GB,729,5.0
G.Skill Ripjaws V DDR4 16GB KIT 3200Mhz,679,5.0
HyperX Impact DDR4 2666MHz 32GB,1170,5.0
G.Skill Trident Z Neo DDR4 3600Mhz 32GB,1789,5.0
HyperX Predator DDR4 3200MHz 16GB,782,5.0
HyperX Impact DDR3L 1600MHz 8GB SODIMM,359,5.0
G.Skill Trident Z DDR4 3600Mhz 16GB,1349,5.0
Crucial DDR3L 1600Mhz 4GB UDIMM,239,5.0
Corsair Vengeance RGB PRO DDR4 2666MHz 16GB,781,5.0
HyperX Predator DDR4 3000MHz 16GB,777,5.0
Corsair Vengeance LPX DDR4 2666MHz 16GB,699,4.0
Crucial DDR3L 1600Mhz 8GB SODIMM,449,4.0
Corsair Value Select DDR4 2400MHz 8GB,306,4.0
HyperX Fury DDR3 1600MHz 4GB,209,5.0
Kingston ValueRAM DDR3 1600MHz 8GB,455,5.0
HyperX Impact DDR4 2400MHz 32GB SODIMM,1110,5.0
G.Skill Trident Z DDR4 RGB 3200Mhz 16GB,1399,5.0
Corsair Vengeance LPX DDR4 3200MHz 32GB,1349,5.0
G.SKILL Aegis DDR4  32GB 3000MHZ,1149,4.5
Corsair Vengeance LPX DDR4 2400MHz 16GB,679,4.5
HyperX Fury DDR3 1866MHz 8GB,379,4.0
Corsair Dominator RGB DDR4 3200MHz 32GB,1701,4.0
HyperX Fury RGB DDR4 2666MHz 16GB,723,5.0
Corsair Vengeance Pro DDR3 1600MHz 16GB,699,5.0
Corsair Vengeance LPX DDR4 2666MHz 8GB,399,5.0
Crucial DDR4 2400MHz 8GB,349,5.0
Crucial DDR4 2400MHz 16GB,559,5.0
Crucial DDR3L 1600Mhz 4GB SODIMM,249,4.3
Corsair Vengeance DDR3 1600MHz 8GB SODIMM,349,5.0
Corsair Vengeance DDR3 1600MHz 8GB,359,4.8
HyperX Fury DDR3 1600MHz 8GB,369,4.5
