RamName, price, rating 
Kingston ValueR DDR3 1333MHz 8GB SODIMM,379,5.0
Kingston DDR3 1333MHz 16GB,719,5.0
HyperX Fury DDR3 1600MHz 16GB,749,5.0
HyperX Impact DDR3L 1600MHz 8GB SODIMM,399,5.0
G.Skill Trident Z Neo DDR4 3600Mhz 32GB,1789,5.0
HyperX Predator DDR4 3200MHz 16GB,782,5.0
Corsair Vengeance RGB PRO DDR4 2666MHz 16GB,799,5.0
Corsair Vengeance LPX DDR4 2666MHz 32GB,1258,5.0
Corsair Vengeance LPX DDR4 3200MHz 16GB,729,5.0
HyperX Impact DDR4 2666MHz 32GB,1170,5.0
G.Skill Trident Z DDR4 3600Mhz 16GB,1349,5.0
HyperX Impact DDR3L 1600MHz 8GB SODIMM,359,5.0
Crucial DDR4 2400MHz 32GB SODIMM,1141,5.0
HyperX Predator DDR4 3000MHz 16GB,777,5.0
Crucial DDR3L 1600Mhz 8GB SODIMM,449,4.0
Corsair Vengeance LPX DDR4 2666MHz 16GB,699,4.0
Corsair Value Select DDR4 2400MHz 8GB,306,4.0
G.Skill Trident Z DDR4 RGB 3200Mhz 16GB,1399,5.0
HyperX Fury DDR3 1600MHz 4GB,209,5.0
Kingston ValueRAM DDR3 1600MHz 8GB,455,5.0
HyperX Impact DDR4 2400MHz 32GB SODIMM,1110,5.0
Corsair Vengeance LPX DDR4 3200MHz 32GB,1349,5.0
G.SKILL Aegis DDR4  32GB 3000MHZ,1149,4.5
Corsair Vengeance LPX DDR4 2400MHz 16GB,679,4.5
HyperX Fury DDR3 1866MHz 8GB,379,4.0
Corsair Dominator RGB DDR4 3200MHz 32GB,1701,4.0
HyperX Fury RGB DDR4 2666MHz 16GB,723,5.0
Corsair Vengeance Pro DDR3 1600MHz 16GB,699,5.0
Corsair Vengeance LPX DDR4 2666MHz 8GB,399,5.0
Crucial DDR4 2400MHz 8GB,349,5.0
Crucial DDR3L 1600Mhz 4GB SODIMM,249,4.3
Corsair Vengeance DDR3 1600MHz 8GB SODIMM,349,5.0
Corsair Vengeance DDR3 1600MHz 8GB,359,4.8
HyperX Fury DDR3 1600MHz 8GB,369,4.5
G.Skill Trident Z RGB 3600MHz 16GB,1379,4.0
Corsair Vengeance LPX  DDR4 3000MHz 16GB,699,4.0
HyperX Fury DDR3 1866MHz 8GB,399,4.8
Corsair Vengeance DDR3 1600MHz 8GB,419,4.7
Corsair DDR3 1600MHz 16GB Lavprofil,719,4.9
HyperX Impact DDR3L 1600MHz 16GB SODIMM,749,4.8
G.Skill Trident Z RGB 3200MHz 16GB,889,4.6
Corsair Value DDR3 1333MHz 4GB SODIMM,199,5.0
Corsair XMS3 DDR3 1600MHz 8GB,399,4.9
Corsair Vengeance RGB PRO DDR4 3200MHz 16GB,879,4.4
Corsair Value S DDR3 1333MHz 4GB,189,4.4
Corsair DDR3 1333MHz 8GB SODIMM MAC,379,4.8
Corsair Vengeance LPX DDR4 3000MHz 16GB,739,4.2
Corsair XMS3 DDR3 1333MHz 4GB,199,4.6
Corsair DDR3 1066MHz 8GB SODIMM MAC,369,4.6
Corsair Vengeance LPX DDR4 2666MHz 16GB,689,4.9
Crucial DDR3L 1600MHz 8GB SODIMM,379,4.9
HyperX Fury DDR3 1600MHz 16GB,719,5.0
Corsair Vengeance LPX DDR4 3200MHz 16GB,749,4.6
Corsair XMS3 DDR3 1333MHz 8GB,382,4.8
HyperX Fury DDR3 1866MHz 16GB,719,4.9
HyperX Fury DDR3 1600MHz 8GB,399,5.0
Corsair Vengeance DDR3 1600MHz 8GB,419,4.7
